datset_risks2 (1);;;;;
Професія;Ризик автоматизації (%);Рівень ризику;Порада;Джерело;Прогноз
UX/UI дизайнер;43;Середній;"User Research — проведення глибинних інтерв’ю, аналіз потреб і поведінки користувачів.

Design Thinking — системний підхід до вирішення проблем користувача.

AI-Driven Prototyping — використання ШІ для прискореного створення та тестування прототипів.

Interaction Design — проектування логіки та поведінки інтерфейсу у складних сценаріях.

Accessibility & Inclusivity — розробка інтерфейсів, доступних для всіх груп користувачів.

Data-Informed Design — ухвалення рішень на основі аналітики, а не лише інтуїції.

Cross-Platform Consistency — забезпечення єдиного користувацького досвіду на вебі, мобільних додатках, VR/AR.";Adobe, WEF;"1) AI UX Strategist — розробляє стратегії взаємодії користувачів з продуктами, де частину функцій виконує ШІ.

2) Ethical Interface Designer — створює інтерфейси, що враховують етичні стандарти та мінімізують маніпулятивні патерни.

3) Immersive Interaction Architect — проектує UX для VR/AR і змішаних реальностей.

4) Human-AI Collaboration Designer — розробляє інтерфейси для ефективної співпраці людини з алгоритмами.

5) Personalized Experience Engineer — створює адаптивні інтерфейси, що підлаштовуються під поведінку та потреби конкретного користувача в реальному часі."
Фотограф;50;Середній;"Концептуальна фотографія — створення ідейних, унікальних візуальних історій, а не лише технічних знімків.

Art Direction & Storytelling — вміння формувати наратив та емоційний меседж через фото.

AI-Enhanced Editing — використання інструментів на кшталт Photoshop AI, Luminar Neo для прискорення та вдосконалення постобробки.

Спеціалізація у вузьких нішах — документальна, спортивна, наукова, астрономічна, underwater-фотографія.

Мультимедійні формати — поєднання фото з відео, 3D, AR/VR-контентом.

Робота з брендами та особистостями — персоналізовані фотосесії, які враховують індивідуальність клієнта.

Live & Experiential Photography — зйомка заходів, перформансів і досвідів, які неможливо повністю відтворити у ШІ.";WEF, Adobe;"1) AI-Integrated Photographer — поєднує традиційну зйомку з генеративними інструментами для створення гібридних візуалів.

2) Immersive Media Creator — знімає контент для VR/AR-досвідів та інтерактивних платформ.

3) Visual Story Architect — розробляє комплексні візуальні наративи, що включають фото, відео та ШІ-графіку.

4) Ethical Image Curator — контролює достовірність і прозорість використання зображень у медіа.

5) AI Training Image Producer — створює високоякісні фото для тренування моделей комп’ютерного зору."
Журналіст;44;Середній;"Розслідувальна журналістика — пошук і перевірка фактів, доступ до інформації з перших джерел.

Аналітична журналістика — глибокий аналіз контексту, трендів та наслідків подій.

Storytelling — створення сильних, емоційних і захопливих історій, які резонують з аудиторією.

Мультимедійні формати — поєднання тексту, фото, відео, подкастів та інтерактивних елементів.

Фактчекінг — перевірка достовірності даних у часи дезінформації.

Робота у зонах конфліктів і криз — репортажі там, де ШІ не має фізичної присутності.

AI Tools for Journalism — використання ШІ для аналізу великих масивів даних, швидкого пошуку інформації та візуалізації.";Forbes, WEF;"1) AI-Assisted Investigative Reporter — поєднує роботу в полі з аналізом даних, отриманих за допомогою ШІ.

2) Immersive Storytelling Producer — створює VR/AR-журналістські матеріали, що занурюють глядача в події.

3) Ethical AI Content Curator — контролює точність і прозорість матеріалів, згенерованих алгоритмами.

4) Data Journalism Specialist — перетворює складні набори даних на зрозумілі візуальні та текстові історії.

5) Crisis & Conflict Correspondent — працює в реальних зонах небезпеки, де автоматизація неможлива."
Письменник;38;Середній;"Унікальний авторський стиль — впізнаваність і творча індивідуальність, яку складно імітувати.

Глибокі дослідження — створення сюжетів на основі реальних подій, історичних фактів чи авторського досвіду.

Мультимедійний сторітелінг — поєднання тексту з ілюстраціями, інтерактивними елементами, VR/AR.

Співпраця з ШІ — використання алгоритмів як інструментів для генерації ідей, структури, редагування.

Розвиток міжжанрових навичок — робота у художньому, документальному та сценарному форматах.

Емоційна залученість — створення глибоких персонажів і сюжетів, що викликають сильний відгук.

Кроскультурна комунікація — написання для міжнародної аудиторії з урахуванням культурних контекстів.";WEF, GPT-4 analysis;"1) AI-Augmented Author — поєднує власну творчість з інструментами ШІ для пришвидшення написання та редагування.

2) Interactive Story Architect — створює нелінійні інтерактивні сюжети для ігор, VR/AR та мультимедійних проєктів.

3) Transmedia Narrative Designer — розробляє історії, що розгортаються на різних платформах (книги, серіали, соцмережі, ігри).

4) Ethical AI Content Supervisor — контролює, щоб згенеровані ШІ тексти були етичними, достовірними та оригінальними.

5) Cultural Preservation Writer — документує та відтворює культурну спадщину у літературних та мультимедійних форматах."
Тестувальник ПЗ;58;Середній;"Автоматизація тестування — знання мов програмування (Python, JavaScript), фреймворків для автоматизації (Selenium, Cypress).

AI-driven Testing — використання інструментів ШІ для генерації тест-кейсів, аналізу логів і передбачення потенційних багів.

Тестування UX/UI — перевірка користувацького досвіду, де потрібне людське відчуття і оцінка інтерфейсу.

Безпека ПЗ — проведення тестів на вразливості, що вимагають експертних знань.

Аналітичні навички — аналіз звітів, пошук закономірностей і нестандартних проблем.

Комунікація з командами розробки — ефективний зворотний зв’язок та координація.

Гнучкість і адаптивність — швидке освоєння нових технологій, методологій (DevOps, Agile).";McKinsey, WEF;"1) AI Test Automation Engineer — розробляє та підтримує автоматизовані тести з використанням ШІ.

2) Quality Data Analyst — аналізує великі обсяги логів і тестових даних для виявлення трендів і помилок.

3) Human-Centered UX Tester — оцінює взаємодію користувачів з продуктом, включаючи емоційні реакції.

4) Security Test Specialist — проводить глибокі перевірки безпеки і захисту даних.

5) AI Ethics Compliance Tester — перевіряє програмне забезпечення на відповідність етичним стандартам, особливо у системах із ШІ.
"
Вчитель;34;Середній;"Емоційна підтримка та мотивація — підтримка учнів у складних ситуаціях, натхнення до навчання.

Інтерактивне навчання — створення творчих проєктів, дискусій, роботи в команді, які складно автоматизувати.

Індивідуальний підхід — адаптація програми під потреби кожного учня.

Критичне мислення та медіаграмотність — навчання учнів оцінювати інформацію, перевіряти факти.

Використання EdTech та AI — інтеграція технологій для підвищення ефективності навчання.

Постійне професійне оновлення — освоєння нових методик, цифрових інструментів і педагогічних підходів.";OECD, UNESCO;"1) AI-Enhanced Learning Facilitator — організовує навчальний процес, використовуючи інструменти ШІ для персоналізації та моніторингу прогресу.

2) Educational Content Curator — підбирає і адаптує цифрові ресурси під освітні цілі і стандарти.

3) Student Wellbeing Coach — підтримує психоемоційне здоров’я учнів, працює з мотивацією та стресом.

4) Hybrid Learning Designer — розробляє ефективні програми навчання, поєднуючи онлайн і офлайн формати.

5) Ethical AI Education Specialist — контролює, щоб освітні технології використовувалися відповідально і без шкоди для учнів."
Соціальний працівник;19;Низький;"Штучний інтелект не замінить соціальних працівників, адже їхня робота базується на глибокому розумінні людських емоцій, підтримці та індивідуальному підході до кожної ситуації.
Але ви можете покращити такі навички, щоб розширити свої можливості і бути актуальними на ринку праці:

М'які навички (Soft skills):
Емпатія — здатність розуміти емоції та потреби клієнтів.
Комунікабельність — ефективна взаємодія з різними групами населення і колегами.
Критичне мислення — оцінка ситуацій і прийняття зважених рішень.
Стресостійкість — робота в складних і конфліктних обставинах.

Технічні навички (Hard skills):
Володіння цифровими платформами для управління соціальними послугами.
Знання методів збору, аналізу та інтерпретації даних про клієнтів.
Навички роботи з онлайн-ресурсами та інструментами підтримки.
Основи правової та етичної діяльності в соціальній сфері.";OECD;"Очікується зростання попиту на соціальних працівників у таких сферах:
1) Фахівці з цифрової підтримки та дистанційного консультування клієнтів.
2) Координатори програм інтеграції та адаптації вразливих груп населення.
3) Аналітики соціальних даних для розробки ефективних політик і програм.
4) Спеціалісти з медіації та врегулювання конфліктів за участю ШІ.
"
Архітектор;27;Низький;"Штучний інтелект не замінить архітекторів, адже творча складова, естетика та індивідуальний підхід до проєктів залишаються за людиною.
Але ви можете покращити такі навички, щоб бути актуальними та розвиватися у нових напрямках:

М'які навички (Soft skills):
Креативність — розробка унікальних і функціональних проєктів.
Комунікабельність — взаємодія з клієнтами, інженерами, містобудівниками.
Критичне мислення — аналіз можливостей і обмежень проєкту.
Управління проєктами — координація командної роботи та ресурсів.

Технічні навички (Hard skills):
Володіння CAD-програмами (AutoCAD, Revit, ArchiCAD).
Навички роботи з BIM (Building Information Modeling).
Знання принципів сталого розвитку і енергоефективності.
Вміння працювати з 3D-візуалізацією та VR/AR технологіями.
Знайомство з AI-інструментами для оптимізації проєктування.";MIT Tech Review;"Очікується зростання попиту на архітекторів у таких сферах:
1) Проєктування «розумних» будівель із використанням AI та IoT.
2) Сталий дизайн та екологічне будівництво.
3) Візуалізація та презентація проєктів за допомогою VR/AR.
4) Аналітика даних для оптимізації міського планування.
"
Інженер з кібербезпеки;12;Низький;"Штучний інтелект не замінить інженерів з кібербезпеки, оскільки потребує високого рівня експертизи, творчого підходу та швидкого реагування на нові загрози.
Але ви можете покращити такі навички, щоб залишатися на передовій у галузі:

М'які навички (Soft skills):
Аналітичне мислення — виявлення та усунення вразливостей систем.
Критичне мислення — оцінка ризиків та розробка стратегій захисту.
Командна робота — співпраця з ІТ-відділами та управління інцидентами.
Адаптивність — швидка реакція на нові загрози та технології.

Технічні навички (Hard skills):
Знання мережевих протоколів та систем безпеки.
Досвід роботи з інструментами виявлення вторгнень (IDS/IPS), фаєрволами, SIEM-системами.
Навички проведення пентестів і аудитів безпеки.
Знання криптографії та методів шифрування.
Розуміння принципів безпеки хмарних сервісів (AWS, Azure).";WEF, Gartner;"Очікується зростання попиту на інженерів з кібербезпеки у таких сферах:
1) Захист інфраструктури від кібератак у критичних галузях (енергетика, медицина, фінанси).
2) Розробка систем захисту для IoT та промислових мереж.
3) Впровадження AI для проактивного виявлення загроз.
4) Консалтинг і аудит безпеки для компаній з цифровою трансформацією.
"
Дизайнер інтер’єру;49;Середній;"Індивідуальний підхід — розробка унікальних, персоналізованих рішень з урахуванням стилю життя клієнта.

Емоційний дизайн — створення атмосфер, які впливають на настрій та поведінку людей.

Управління проєктами — координація роботи підрядників, логістика, бюджетування.

Sustainability & Smart Home Integration — впровадження екологічних матеріалів і розумних технологій.

Креативне поєднання простору та технологій — робота з AR/VR для презентації ідей.

Тренди та культурний контекст — адаптація дизайну під сучасні тенденції і локальні особливості.

Колаборація з AI-інструментами — використання генеративних систем для створення концептів, які дизайнер вдосконалює.";WEF, Behance;"1) AI-Enhanced Interior Conceptualist — створює базові концепти інтер’єрів за допомогою ШІ та вдосконалює їх вручну.

2) Immersive Space Experience Designer — проєктує інтер’єри з VR/AR-ефектами для занурення користувача.

3) Sustainable Interior Specialist — розробляє екологічно відповідальні та енергоефективні рішення.

4) Smart Environment Integrator — поєднує дизайн із системами розумного дому та IoT.

5) Ethical Space Curator — контролює етичні аспекти вибору матеріалів та впливу дизайну на здоров’я людини і довкілля."
Лікар;28;Середній;"Клінічне мислення та прийняття рішень — інтеграція даних ШІ з урахуванням унікальних особливостей пацієнта.

Емпатія і комунікація — підтримка пацієнтів, роз’яснення складної інформації.

Міждисциплінарна співпраця — робота в командах із різних спеціальностей і з технологами.

Постійне навчання — освоєння новітніх технологій, медичних методик і трендів.

Розробка персоналізованих терапій — індивідуальний підхід з урахуванням генетики та способу життя.

Захист даних і етика — забезпечення конфіденційності та етичності у застосуванні медичних технологій.";WHO, McKinsey;"1) AI-Augmented Diagnostic Specialist — поєднує клінічну експертизу з аналізом даних, наданих ШІ.

2) Telemedicine Facilitator — організовує і проводить дистанційні консультації з використанням нових технологій.

3) Personalized Medicine Designer — розробляє індивідуальні плани лікування на основі комплексних даних.

4) Healthcare Data Ethicist — контролює етичне використання медичних даних та алгоритмів.

5) Medical Technology Integrator — впроваджує нові технології та пристрої у клінічну практику."
Психолог;21;Низький;"Штучний інтелект не замінить психологів, адже їхня робота ґрунтується на глибокому розумінні людських емоцій, поведінки і складних міжособистісних процесів.
Але ви можете покращити такі навички, щоб залишатися актуальними та розширювати професійні горизонти:

М'які навички (Soft skills):
Емпатія — вміння розуміти і підтримувати клієнтів у складних ситуаціях.
Комунікабельність — ефективна взаємодія з різними групами людей.
Критичне мислення — аналіз психологічних процесів і прийняття рішень.
Стресостійкість — робота з емоційно напруженими випадками.

Технічні навички (Hard skills):
Знання методик психотерапії та консультування.
Вміння працювати з цифровими інструментами для дистанційної підтримки клієнтів.
Навички аналізу психологічних даних і тестування.
Ознайомлення з AI-системами, які допомагають у діагностиці та терапії.";APA, McKinsey;"Очікується зростання попиту на психологів у таких сферах:
1) Дистанційна психотерапія та онлайн-консультування.
2) Робота з AI-підтримкою для аналізу поведінкових патернів.
3) Психологічна підтримка в корпоративному секторі (стрес-менеджмент, розвиток лідерства).
4) Розробка програм з психічного здоров’я для різних вікових груп.
"
Режисер;40;Середній;"Творче бачення і storytelling — формування унікальної художньої ідеї та наративу.

Лідерство і командна робота — управління великими творчими колективами.

Колаборація з технологіями — інтеграція ШІ у процеси монтажу, спецефектів та планування зйомок.

Мультимедійний підхід — робота з VR/AR, інтерактивним і трансмедійним контентом.

Етичні та культурні аспекти — розуміння впливу контенту на суспільство.

Інновації у візуальному стилі — постійне освоєння нових технік і форматів.";WEF, Adobe;"1) AI-Augmented Creative Director — поєднує традиційне режисерське мистецтво з інструментами ШІ для оптимізації творчих процесів.

2) Immersive Experience Director — створює VR/AR- та інтерактивні проєкти, занурюючи глядача в нові світи.

3) Ethical Content Supervisor — контролює відповідальність і етичність медіа-продуктів.

4) Virtual Production Coordinator — управляє віртуальними зйомками із застосуванням цифрових технологій і ШІ.

5) Transmedia Storyteller — розробляє наративи, що розгортаються на кількох платформах та форматах."
Бариста;70;Високий;"М'які навички (Soft skills):

Комунікабельність — привітне, доброзичливе спілкування з клієнтами для створення приємної атмосфери.

Стресостійкість — здатність ефективно працювати під час великого потоку клієнтів або в години пік.

Уважність до деталей — точне приготування замовлень згідно з побажаннями клієнта.

Гнучкість — готовність швидко адаптуватися до нових рецептів, обладнання чи форматів обслуговування.



Технічні навички (Hard skills):

Професійне приготування кави — знання різних методів заварювання (еспресо, пуровер, френч-прес тощо).

Робота з кавомашинами — впевнене користування професійним обладнанням, його налаштування й обслуговування.

Знання асортименту — розуміння складників напоїв, сезонних меню, спеціальних замовлень.

Робота з POS-системами — прийом оплат, введення замовлень, друк чеків.

Основи гігієни та безпеки харчових продуктів — дотримання санітарних норм, чистота на робочому місці.";McKinsey;"1) Тренер-бариста — проводить навчання нових працівників, підвищує стандарти обслуговування й приготування кави.

2) Менеджер кавʼярні — відповідає за організацію роботи закладу, графіки, замовлення товару, контроль якості.

3) Спеціаліст із закупівель кави — працює з постачальниками, обирає сорти кави, контролює якість поставок.

4) Оператор кавових автоматів / кавових систем — налагоджує, обслуговує та моніторить напівавтоматичні кавові станції.

5) Бариста в сегменті преміум / спеціалізованих напоїв — готує складні авторські кавові напої, працює в high-end закладах."
SMM-спеціаліст;48;Середній;"Креативний контент та брендинг — створення унікальних ідей і візуалів, які резонують з аудиторією.

Стратегічне планування — розробка комплексних маркетингових кампаній з урахуванням трендів і поведінки користувачів.

Аналітика та адаптація — глибокий аналіз результатів кампаній і швидке коригування стратегії.

Емоційний інтелект — робота з аудиторією, управління репутацією, реакція на кризи.

Використання AI-інструментів — комбінування автоматизації з людським творчим підходом.

Тренди та нові платформи — постійне навчання і впровадження нових форматів, наприклад, TikTok, Reels, метавсесвіт.";Hootsuite, WEF;"1) AI-Enhanced Content Strategist — розробляє ідеї і кампанії з підтримкою ШІ, оптимізуючи залучення аудиторії.

2) Community Engagement Specialist — управляє онлайн-спільнотами, підвищуючи лояльність і активність.

3) Ethical Social Media Manager — слідкує за прозорістю і етикою в рекламних кампаніях і контенті.

4) Immersive Social Experience Designer — створює інтерактивні і VR/AR кампанії для глибшої взаємодії.

5) Data-Driven SMM Analyst — аналізує поведінку користувачів і тренди, використовуючи великі дані і ШІ.
"
